controller,condition_id,seed,validation_subject_count,validation_case_count,latent_bis_mae,time_in_40_60_fraction,time_below_40_fraction,time_above_60_fraction,cumulative_reward,total_propofol_mg,action_sd,action_boundary_fraction,core_clip_fraction
PPO,Goff_A30_S0,45,24,24,12.149580325775256,0.6166666666666667,0.044444444444444446,0.33888888888888885,12.877667528603146,101.43388558675845,0.08953158797123673,0.0,0.0
PPO,Goff_A30_S0,46,24,24,12.07946038908026,0.6645833333333333,0.0,0.3354166666666667,12.000374227451587,96.5039814139406,0.19263495874345749,0.0,0.0
PPO,Goff_A30_S0,47,24,24,12.450976037274657,0.6430555555555555,0.0,0.35694444444444445,12.54436270336086,92.63626890877883,0.16059801165116058,0.0,0.0
PPO,Goff_A20_S0,45,24,24,12.279045236907303,0.6104166666666666,0.041666666666666664,0.34791666666666665,13.053889210148357,99.85017078121503,0.10454941196485816,0.0,0.0
PPO,Goff_A20_S0,46,24,24,12.308172304033448,0.670138888888889,0.004861111111111111,0.32499999999999996,10.891275835160513,99.63064306974411,0.2233764578066553,0.0,0.0
PPO,Goff_A20_S0,47,24,24,12.86185051637784,0.6451388888888888,0.0,0.35486111111111107,10.179524681522782,97.75542973478635,0.23413969689643044,0.005555555555555556,0.0
PPO,G50_A30_S0,45,24,24,11.976621049084367,0.6472222222222221,0.011111111111111112,0.3416666666666666,13.015097129817745,96.35066362470388,0.2510617930107515,0.02638888888888889,0.0
PPO,G50_A30_S0,46,24,24,12.289760223360366,0.6486111111111111,0.0,0.3513888888888889,11.989247557008762,94.56512573982279,0.2660563919387142,0.0006944444444444445,0.0
PPO,G50_A30_S0,47,24,24,12.37149695372572,0.6243055555555556,0.011805555555555555,0.36388888888888893,12.979258874949105,92.16098027676344,0.23345865541575614,0.008333333333333333,0.0
PPO,G50_A20_S0,45,24,24,12.163901699215453,0.6437499999999999,0.009722222222222222,0.34652777777777777,12.507624527393618,94.4318939211468,0.22624950669935395,0.011111111111111112,0.0
PPO,G50_A20_S0,46,24,24,11.835918061759235,0.6548611111111111,0.009722222222222222,0.3354166666666667,12.903770008369818,97.55050282925367,0.1695310175195696,0.0,0.0
PPO,G50_A20_S0,47,24,24,12.270413756845633,0.6430555555555556,0.009027777777777779,0.34791666666666665,12.288921635876124,95.0119448453188,0.1920858744252132,0.0020833333333333333,0.0
PPO,Goff_A30_S1,45,24,24,35.48645217557719,0.10833333333333332,0.0,0.8916666666666667,3.1484995415299033,25.559307172894478,0.2408624549304755,0.0,0.0
PPO,Goff_A30_S1,46,24,24,32.88699528260716,0.0,0.0,1.0,1.874031208823979,18.457535080922145,0.2076806344026216,0.1951388888888889,0.0
PPO,Goff_A30_S1,47,24,24,8.368162381242954,0.7909722222222223,0.0,0.20902777777777778,22.119255698377145,99.84815792242686,0.7349516081723535,0.0,0.0
PPO,Goff_A20_S1,45,24,24,37.42426540450176,0.10347222222222223,0.0,0.8965277777777777,3.385717080676342,21.54937613941729,0.21828400614500124,0.0,0.0
PPO,Goff_A20_S1,46,24,24,18.97787370424841,0.3354166666666667,0.0,0.6645833333333334,6.293508816510527,60.4784573148936,0.3339422022914364,0.0,0.0
PPO,Goff_A20_S1,47,24,24,9.368158386793743,0.7284722222222223,0.05277777777777778,0.21875,17.623569209226023,108.5214223836859,0.6503261730784656,0.001388888888888889,0.0
PPO,G50_A30_S1,45,24,24,39.7188466494475,0.005555555555555556,0.0,0.9944444444444445,1.6607653274761187,9.431572588781515,0.18699002198099487,0.020833333333333332,0.0
PPO,G50_A30_S1,46,24,24,40.254819700309184,0.05555555555555556,0.0,0.9444444444444443,2.2793568587473523,10.819568140432239,0.16136740041430594,0.22708333333333333,0.0
PPO,G50_A30_S1,47,24,24,22.163467013493175,0.3208333333333333,0.0,0.6791666666666666,7.2337205296986715,67.09443023738761,0.4276448304927214,0.008333333333333333,0.0
PPO,G50_A20_S1,45,24,24,38.80828360892905,0.08680555555555557,0.0,0.9131944444444443,2.1427930814204745,13.792655892359713,0.19840257490206503,0.04791666666666666,0.0
PPO,G50_A20_S1,46,24,24,38.60013079562737,0.04652777777777778,0.0,0.9534722222222222,2.0064861349328993,14.898948101482043,0.12313380880194695,0.5152777777777778,0.0
PPO,G50_A20_S1,47,24,24,10.488649833721377,0.7104166666666667,0.0,0.28958333333333336,14.949728531136133,94.23140370287001,0.5489497468089792,0.027777777777777776,0.0
constant,Goff_A30_S0,deterministic,24,24,12.603158948760138,0.5972222222222222,0.11388888888888889,0.28888888888888886,9.916741683495916,120.0,0.0,0.0,0.0
P,Goff_A30_S0,deterministic,24,24,11.857774052067775,0.6590277777777778,0.06180555555555556,0.2791666666666666,10.212672869502486,114.07561183484115,0.27895186059839006,0.0,0.0
PI,Goff_A30_S0,deterministic,24,24,11.896540637369272,0.6506944444444444,0.02708333333333333,0.3222222222222222,12.13685255220251,101.36113480972563,0.28570183207330624,0.0,0.0
constant,Goff_A20_S0,deterministic,24,24,12.603158948760138,0.5972222222222222,0.11388888888888889,0.28888888888888886,9.916741683495916,120.0,0.0,0.0,0.0
P,Goff_A20_S0,deterministic,24,24,11.857774052067775,0.6590277777777778,0.06180555555555556,0.2791666666666666,10.212672869502486,114.07561183484115,0.27895186059839006,0.0,0.0
PI,Goff_A20_S0,deterministic,24,24,11.896540637369272,0.6506944444444444,0.02708333333333333,0.3222222222222222,12.13685255220251,101.36113480972563,0.28570183207330624,0.0,0.0
constant,G50_A30_S0,deterministic,24,24,12.603158948760138,0.5972222222222222,0.11388888888888889,0.28888888888888886,9.916741683495916,120.0,0.0,0.0,0.0
P,G50_A30_S0,deterministic,24,24,12.17477341032005,0.6437499999999999,0.07013888888888889,0.2861111111111111,10.169394122523462,114.67177205424134,0.18721947482569964,0.0062499999999999995,0.0
PI,G50_A30_S0,deterministic,24,24,12.099811448729191,0.6486111111111111,0.020833333333333332,0.33055555555555555,11.839061546706175,100.55319172537808,0.18156986721027205,0.002777777777777778,0.0
constant,G50_A20_S0,deterministic,24,24,12.603158948760138,0.5972222222222222,0.11388888888888889,0.28888888888888886,9.916741683495916,120.0,0.0,0.0,0.0
P,G50_A20_S0,deterministic,24,24,12.177562269173459,0.6430555555555556,0.07083333333333333,0.2861111111111111,10.167085243108462,114.70241691311821,0.1871927032153584,0.0062499999999999995,0.0
