sqi_threshold,age_seconds,window,subject_count,case_count,overall_visibility_fraction,subject_mean_visible_fraction,subject_mean_zero_visibility,subject_mean_first_visible_seconds,subject_mean_visibility_transitions,subject_mean_longest_invisible_seconds,subject_mean_sqi_rejection_fraction,subject_mean_staleness_rejection_fraction
off,10,0_600,1642,1680,0.2648214285714286,0.26546612081021337,0.5168493706861551,440.43409121667344,0.5081201786439301,440.5071728244688,0.0,0.0004770604953308973
off,10,0_1800,1642,1680,0.574619708994709,0.5750475556758544,0.11510353227771011,761.8084314521586,1.0596833130328867,762.4235349844364,0.0,0.0017255379618351602
off,10,full,1642,1680,0.9099059259697286,0.8990668165814689,0.0,869.5581269454595,2.2205305183380704,958.527540939234,0.0,0.013022684321101076
off,20,0_600,1642,1680,0.2650595238095238,0.26570972616953126,0.5168493706861551,440.43409121667344,0.49289484368656106,440.47672215455407,0.0,0.0002334551360129923
off,20,0_1800,1642,1680,0.5751157407407408,0.5755483000255636,0.11510353227771011,761.8084314521586,0.9701583434835567,762.350453376641,0.0,0.0012247936121261335
off,20,full,1642,1680,0.9105579394727843,0.8997710893798877,0.0,869.5581269454595,1.6328325889836244,957.5128569495197,0.0,0.012318411522682243
off,30,0_600,1642,1680,0.2651686507936508,0.2658213786258853,0.5168493706861551,440.43409121667344,0.4898497766950872,440.4584517526052,0.0,0.0001218026796589525
off,30,0_1800,1642,1680,0.5753604497354498,0.5757969804965339,0.11510353227771011,761.8084314521586,0.9470158343483557,762.3139125727433,0.0,0.0009761131411557721
off,30,full,1642,1680,0.9109533640657258,0.9002102499761347,0.0,869.5581269454595,1.5119772634997972,956.5651644336175,0.0,0.011879250926435228
off,60,0_600,1642,1680,0.26526785714285717,0.26592288085893445,0.5168493706861551,440.43409121667344,0.48132358911896056,440.44018135065636,0.0,2.0300446609825415e-05
off,60,0_1800,1642,1680,0.5757043650793651,0.5761471632005534,0.11510353227771011,761.8084314521586,0.8952496954933008,762.2225605629991,0.0,0.0006259304371362836
off,60,full,1642,1680,0.9118460260856822,0.901212939840628,0.0,869.5581269454595,1.3263973474083095,953.8530247665449,0.0,0.010876561061941957
30,10,0_600,1642,1680,0.13178571428571428,0.1322004556322461,0.674110163756936,516.404452564623,0.43612126133441603,518.0031127351468,0.27603134436789484,0.007125456760048721
30,10,0_1800,1642,1680,0.44831679894179893,0.44928158975053006,0.15140749763161457,949.7080119095953,1.71163215590743,956.717756123968,0.22779973095946407,0.023102848077472517
30,10,full,1642,1680,0.8479003674003532,0.8246063500808555,0.0,1079.1240357287859,8.085228041683584,1236.5996751928542,0.08821782400140883,0.06484469297149317
30,20,0_600,1642,1680,0.13288690476190476,0.13330175486082918,0.674110163756936,516.404452564623,0.39958045743673026,517.9026255244282,0.27603134436789484,0.006024157531465691
30,20,0_1800,1642,1680,0.45083002645502646,0.4517821160584051,0.15140749763161457,949.7080119095953,1.4940790364054672,956.4467451617269,0.22779973095946407,0.020602321769597455
30,20,full,1642,1680,0.8513553190778226,0.8283404071879265,0.0,1079.1240357287859,5.742962511841927,1234.0756529976993,0.08821782400140883,0.06111063586442219
30,30,0_600,1642,1680,0.1336706349206349,0.13407824694365497,0.674110163756936,516.404452564623,0.38191906888618216,517.8082284476925,0.27603134436789484,0.00524766544863987
30,30,0_1800,1642,1680,0.45272486772486775,0.45366310281048405,0.15140749763161457,949.7080119095953,1.3789755041277572,956.2000947354175,0.22779973095946407,0.018721335017518534
30,30,full,1642,1680,0.8537931708270236,0.8310438659346819,0.0,1079.1240357287859,4.553017999729327,1231.6186222763567,0.08821782400140883,0.0584071771176667
30,60,0_600,1642,1680,0.1351388888888889,0.1355297288762575,0.674110163756936,516.404452564623,0.3508593855731493,517.5920286912979,0.27603134436789484,0.003796183516037353
30,60,0_1800,1642,1680,0.4566898148148148,0.45760928407091617,0.15140749763161457,949.7080119095953,1.1603396941399378,955.5301799972932,0.22779973095946407,0.01477515375708636
30,60,full,1642,1680,0.8586416213950929,0.8366804787941242,0.0,1079.1240357287859,3.0094397076735686,1224.5276762755448,0.08821782400140883,0.052770564258224364
50,10,0_600,1642,1680,0.11982142857142856,0.12027281544638427,0.6856814183245364,521.7563269725267,0.4938421978616863,523.3214914061442,0.3004212783399482,0.010133306266071186
50,10,0_1800,1642,1680,0.43089285714285713,0.43188561074269555,0.15749763161456218,964.568953850318,2.3431452158614157,972.537894167005,0.25980167893917533,0.03224274822934993
50,10,full,1642,1680,0.8317512064563735,0.807402821928711,0.0,1098.15435106239,18.016950872919207,1254.295574502639,0.11339975521844602,0.07976951079573263
50,20,0_600,1642,1680,0.12156746031746032,0.12201301484188208,0.6856814183245364,521.7563269725267,0.4530383001759372,523.2027337934768,0.3004212783399482,0.008393106870573375
50,20,0_1800,1642,1680,0.4352017195767196,0.43619550833822046,0.15749763161456218,964.568953850318,1.9868723778589794,972.2181621329003,0.25980167893917533,0.027932850633825054
50,20,full,1642,1680,0.8395069790640932,0.8155196302143861,0.0,1098.15435106239,12.670016240357286,1251.8020029773988,0.11339975521844602,0.0716527025100575
50,30,0_600,1642,1680,0.12294642857142857,0.12337765597509812,0.6856814183245364,521.7563269725267,0.4122344024901881,523.0961564487752,0.3004212783399482,0.007028465737357333
50,30,0_1800,1642,1680,0.438505291005291,0.43949715041879067,0.15749763161456218,964.568953850318,1.743470023007173,971.9349709026932,0.25980167893917533,0.024631208553254843
50,30,full,1642,1680,0.8449477952122257,0.8213185949312433,0.0,1098.15435106239,9.056536743808364,1249.3601975910137,0.11339975521844602,0.06585373779320053
50,60,0_600,1642,1680,0.12532738095238094,0.12572348536112238,0.6856814183245364,521.7563269725267,0.36222763567465155,522.8860468263636,0.3004212783399482,0.004682636351333062
50,60,0_1800,1642,1680,0.4449867724867725,0.4459587073878588,0.15749763161456218,964.568953850318,1.3575246988767087,971.1889294897821,0.25980167893917533,0.0181696515841867
50,60,full,1642,1680,0.854039475612484,0.8313211820307927,0.0,1098.15435106239,4.382832588983624,1242.3179726620651,0.11339975521844602,0.055851150693650986
70,10,0_600,1642,1680,0.08793650793650794,0.08838870844047457,0.7322709432940858,537.9022871836513,0.5144471511706591,539.8937609960752,0.3580369268461102,0.015107479586773132
70,10,0_1800,1642,1680,0.36593584656084654,0.3667700485706982,0.17272296657193123,1021.6632832588983,3.689741507646501,1030.5031127351467,0.36865252396806,0.06563923850769161
70,10,full,1642,1680,0.73388181998154,0.706580611894483,0.0,1164.2962511841927,41.08725808634457,1317.158952496955,0.2366785191050665,0.1734229663348562
70,20,0_600,1642,1680,0.09035714285714286,0.09080558938963323,0.7322709432940858,537.9022871836513,0.45963594532413043,539.7201921775612,0.3580369268461102,0.01269059863761447
