delta,favorable,favorable_seed_count,maximum_absolute_discrepancy,metric,row_type,seed,seed_sd,seed_values,state
0.005990409833384291,,,,consecutive_action_variation,seed,52,,,S_CP
-0.2180156688106818,True,,,mae_0_1800,seed,48,,,S_CE
-0.04176807070435018,True,,,mae_0_1800,seed,49,,,S_CE
0.1635412563225418,False,,,mae_0_1800,seed,50,,,S_CE
-0.23041618047460988,True,,,mae_0_1800,seed,51,,,S_CE
-0.32687122625529463,True,,,mae_0_1800,seed,52,,,S_CE
0.008912037037037135,True,,,time_in_40_60_fraction,seed,48,,,S_CE
0.004224537037036957,True,,,time_in_40_60_fraction,seed,49,,,S_CE
0.003182870370370461,True,,,time_in_40_60_fraction,seed,50,,,S_CE
0.0078125,True,,,time_in_40_60_fraction,seed,51,,,S_CE
0.007002314814814725,True,,,time_in_40_60_fraction,seed,52,,,S_CE
2.8926672134548426,,,,total_propofol_mg,seed,48,,,S_CE
2.3562762569636106,,,,total_propofol_mg,seed,49,,,S_CE
4.60634794862321,,,,total_propofol_mg,seed,50,,,S_CE
7.969236665094883,,,,total_propofol_mg,seed,51,,,S_CE
12.963941971460969,,,,total_propofol_mg,seed,52,,,S_CE
0.004553467786248273,,,,consecutive_action_variation,seed,48,,,S_CE
0.0017000960387303365,,,,consecutive_action_variation,seed,49,,,S_CE
0.013966820655421836,,,,consecutive_action_variation,seed,50,,,S_CE
0.010115291800148769,,,,consecutive_action_variation,seed,51,,,S_CE
0.00972530729999311,,,,consecutive_action_variation,seed,52,,,S_CE
-0.02603339725355447,True,,,mae_0_1800,seed,48,,,S_CONC
-0.004496024959836031,True,,,mae_0_1800,seed,49,,,S_CONC
0.21569202206787708,False,,,mae_0_1800,seed,50,,,S_CONC
-0.05090537417815977,True,,,mae_0_1800,seed,51,,,S_CONC
-0.06474862209694443,True,,,mae_0_1800,seed,52,,,S_CONC
0.003356481481481488,True,,,time_in_40_60_fraction,seed,48,,,S_CONC
0.005381944444444398,True,,,time_in_40_60_fraction,seed,49,,,S_CONC
-0.006134259259259034,False,,,time_in_40_60_fraction,seed,50,,,S_CONC
0.003067129629629517,True,,,time_in_40_60_fraction,seed,51,,,S_CONC
0.005960648148148229,True,,,time_in_40_60_fraction,seed,52,,,S_CONC
-1.1354423432300393,,,,total_propofol_mg,seed,48,,,S_CONC
1.9671073614930208,,,,total_propofol_mg,seed,49,,,S_CONC
-2.6922518514717524,,,,total_propofol_mg,seed,50,,,S_CONC
1.6456991850087945,,,,total_propofol_mg,seed,51,,,S_CONC
-2.9437201426675017,,,,total_propofol_mg,seed,52,,,S_CONC
-0.012558623621139665,,,,consecutive_action_variation,seed,48,,,S_CONC
0.009971897683177466,,,,consecutive_action_variation,seed,49,,,S_CONC
0.0007310528793758944,,,,consecutive_action_variation,seed,50,,,S_CONC
0.004791646567997097,,,,consecutive_action_variation,seed,51,,,S_CONC
0.005231162142945063,,,,consecutive_action_variation,seed,52,,,S_CONC
0.9178886294438918,,2,3.7915562609441142,mae_0_1800,summary,mean,1.674908242664538,"[-0.11616987661253209, 3.7915562609441142, -0.30213440757285426, 0.9349198222179025, 0.2812713482428286]",S0
-0.05562500000000008,,3,0.29369212962962965,time_in_40_60_fraction,summary,mean,0.13628921539538255,"[0.0014467592592591894, -0.29369212962962965, 0.04687499999999989, -0.036111111111111205, 0.003356481481481377]",S0
-11.847676516976213,,,38.64428075682372,total_propofol_mg,summary,mean,23.44005254039925,"[-1.478332206451654, -35.168994405617326, -38.64428075682372, 12.402933040168136, 3.6502917438434963]",S0
