action_boundary_fraction,action_sd,case_count,consecutive_action_variation,core_clip_fraction,cumulative_reward,mae_0_1800,mae_0_600,mae_600_1800,mean_deterministic_action,profile,rmse_0_1800,rmse_0_600,rmse_600_1800,seed,sqi_rejection_fraction,stale_fraction,state,subject_count,time_above_60_fraction,time_below_40_fraction,time_in_40_60_fraction,total_propofol_mg,visible_fraction
0.002951388888888889,0.3437484831576321,96,0.01771411173101133,0.0,51.73420929859734,6.795804202533383,13.520360509289452,3.4335260491553488,1.278861791018776,P0,12.11546864607069,20.103293088454674,3.8275173378582754,48,0.0,0.0010416666666666667,S0,96,0.13402777777777777,0.013541666666666665,0.8524305555555557,230.1951223833797,0.5440972222222222
0.010532407407407407,0.32727087366125307,96,0.018961837220402847,0.0,54.57056604054287,6.679634325920851,13.256099632042824,3.391401672859866,1.270648834316267,P1,11.926784659980123,19.742800129532373,3.810772669185114,48,0.13107638888888887,0.0011574074074074073,S0,96,0.13466435185185185,0.011458333333333333,0.8538773148148149,228.71679017692804,0.41290509259259256
0.025636574074074076,0.5248826109749722,96,0.10025736223212556,0.0,82.90128380094738,3.6955940678976162,8.176178753573247,1.4553017250598008,1.2313680721602092,P0,9.252599505355114,15.827947448326343,1.6842711292997254,48,0.0,0.0010416666666666667,S_PROP,96,0.07824074074074075,0.0,0.9217592592592592,221.64625298883766,0.5440972222222222
0.02337962962962963,0.46426011435135844,96,0.041660765220638316,0.0,87.94400036100267,3.775503076183899,8.421232261187308,1.4526384836821933,1.2223349883979946,P1,9.357030747516502,15.98181545618406,1.7373238958145378,48,0.13107638888888887,0.0011574074074074073,S_PROP,96,0.08344907407407409,0.0,0.9165509259259258,220.020297911639,0.41290509259259256
0.00920138888888889,0.37347897427111326,96,0.017108109377296832,0.0,57.68993010824526,6.413014813568253,12.263738884016812,3.4876527783439735,1.2862860140390695,P0,11.484864521768598,18.813403364306144,3.9813852196506896,48,0.0,0.0010416666666666667,S_REMI,96,0.12141203703703703,0.019560185185185184,0.8590277777777778,231.5314825270325,0.5440972222222222
0.016377314814814813,0.3259055412392438,96,0.02183609603586809,0.0,54.7843977207354,6.358595173910288,12.62650056719672,3.2246424772670728,1.2599233020493692,P1,11.467127073887648,19.04594743404641,3.594942771044817,48,0.13107638888888887,0.0011574074074074073,S_REMI,96,0.12957175925925926,0.002662037037037037,0.8677662037037037,226.78619436888644,0.41290509259259256
0.02291666666666667,0.3599120996060372,96,0.036901954821617906,0.0,88.49187489220799,4.49195899665913,11.58292139528897,0.9464777973442097,1.1702017495701849,P0,10.49670765002768,18.05613858151177,1.3810597453104119,48,0.0,0.0010416666666666667,S_CP,96,0.11493055555555558,0.0,0.8850694444444445,210.63631492263326,0.5440972222222222
0.02199074074074074,0.35226671082197947,96,0.04294903302873924,0.0,86.60752864622856,4.553598485395018,11.787961824761183,0.9364168157119362,1.153131846298843,P1,10.489552645875337,18.054418915719417,1.315260752086593,48,0.13107638888888887,0.0011574074074074073,S_CP,96,0.11637731481481484,0.0,0.8836226851851853,207.56373233379176,0.41290509259259256
0.022048611111111106,0.48215020856060553,96,0.03831816113985784,0.0,97.01562779770798,3.3625684447913664,8.077219840576367,1.0052427468988665,1.2132097125225874,P0,8.956971826112186,15.368973259000994,1.391948209953318,48,0.0,0.0010416666666666667,S_CE,96,0.08020833333333334,0.0,0.9197916666666667,218.37774825406572,0.5440972222222222
0.025810185185185186,0.5450497234743324,96,0.04287162892610611,0.0,97.53754840632048,3.1445527759806846,7.247838905083991,1.092909711429031,1.2292800859306696,P1,8.588512318958038,14.701353527801174,1.4959966256633956,48,0.13107638888888887,0.0011574074074074073,S_CE,96,0.07129629629629629,0.0,0.9287037037037038,221.27041546752056,0.41290509259259256
