actor_tanh_saturation_fraction,diagnostic_action_clip_fraction,finite_input,physical_action_q01,physical_action_q50,physical_action_q99,physical_clipped_action_mean,profile,raw_action_q01,raw_action_q50,raw_action_q99,raw_deterministic_action_mean,scaled_abs_mean_concentration,scaled_abs_mean_cumulative,scaled_abs_mean_recent,scaled_abs_mean_s0,scope,seed,state,step
0.0,0.002951388888888889,True,0.17715805768966675,1.3028488159179688,1.9026991128921509,1.2788618803024292,P0,0.17715805768966675,1.3028488159179688,1.9026991128921509,1.2785826921463013,0.0,0.0,0.0,0.4600491225719452,final_development,48,S0,524288
0.0,0.010532407407407407,True,0.0,1.335734248161316,1.7567448616027832,1.2706488370895386,P1,-0.012810797430574894,1.335734248161316,1.7567448616027832,1.2689529657363892,0.0,0.0,0.0,0.4141443371772766,final_development,48,S0,524288
0.0,0.022048611111111113,True,0.0,1.2280155420303345,1.9581665992736816,1.1741995811462402,P0,-0.5439725518226624,1.2280155420303345,1.9581665992736816,1.162940502166748,0.0,0.5505574345588684,0.0,0.45339423418045044,final_development,48,S_CUM,524288
0.0,0.01880787037037037,True,0.0,1.1641342639923096,1.8784306049346924,1.1391496658325195,P1,-0.37158000469207764,1.1641342639923096,1.8784306049346924,1.1314167976379395,0.0,0.5426446199417114,0.0,0.4028873145580292,final_development,48,S_CUM,524288
0.0,0.033680555555555554,True,0.0,1.1697077751159668,3.253828763961792,1.181276559829712,P0,-1.0188878774642944,1.1697077751159668,3.253828763961792,1.1567400693893433,0.5339771509170532,0.0,0.0,0.454108864068985,final_development,48,S_CONC,524288
0.0,0.03564814814814815,True,0.0,1.1609725952148438,3.27413272857666,1.1749686002731323,P1,-1.0537314414978027,1.1609725952148438,3.27413272857666,1.1478841304779053,0.5321853160858154,0.0,0.0,0.40717241168022156,final_development,48,S_CONC,524288
0.0,0.03923611111111111,True,0.0,1.1649466753005981,3.3770296573638916,1.1905356645584106,P0,-1.732166051864624,1.1649466753005981,3.3770296573638916,1.1455529928207397,0.5376057028770447,0.5646964907646179,0.0,0.45464804768562317,final_development,48,S_CORE,524288
0.0,0.032233796296296295,True,0.0,1.1867092847824097,3.135488748550415,1.2048733234405518,P1,-0.9571899175643921,1.1867092847824097,3.135488748550415,1.1831210851669312,0.5409120321273804,0.566888153553009,0.0,0.4093632400035858,final_development,48,S_CORE,524288
3.1195746527777775e-05,0.03142361111111111,True,0.0,1.1755211353302002,3.271944284439087,1.1945663690567017,P0,-1.0400359630584717,1.1755211353302002,3.271944284439087,1.1699750423431396,0.5377257466316223,0.563572883605957,0.4718192517757416,0.45456111431121826,final_development,48,S1,524288
3.6168981481481483e-06,0.03275462962962963,True,0.0,1.1791572570800781,3.5377321243286133,1.1969836950302124,P1,-1.3208043575286865,1.1791572570800781,3.5377321243286133,1.1658648252487183,0.5385758280754089,0.5648626089096069,0.47253483533859253,0.4086586833000183,final_development,48,S1,524288
0.0,0.0,True,0.6252237558364868,1.0090199708938599,1.295163631439209,1.0044087171554565,P0,0.6252237558364868,1.0090199708938599,1.295163631439209,1.0044087171554565,0.0,0.0,0.0,0.43761947751045227,final_development,49,S0,524288
0.0,0.0,True,0.2721336781978607,0.8225608468055725,1.1057804822921753,0.8090254068374634,P1,0.2721336781978607,0.8225608468055725,1.1057804822921753,0.8090254068374634,0.0,0.0,0.0,0.3741166293621063,final_development,49,S0,524288
0.0,0.016145833333333335,True,0.0,1.208172082901001,1.8567228317260742,1.1610798835754395,P0,-0.163590207695961,1.208172082901001,1.8567228317260742,1.1574543714523315,0.0,0.5439506769180298,0.0,0.4504127502441406,final_development,49,S_CUM,524288
0.0,0.017881944444444443,True,0.0,1.2154854536056519,1.7677992582321167,1.150124192237854,P1,-0.17438335716724396,1.2154854536056519,1.7677992582321167,1.1461838483810425,0.0,0.5435285568237305,0.0,0.40476179122924805,final_development,49,S_CUM,524288
