row_type,profile,contrast,formula,seed,delta,seed_sd,favorable_seed_count,favorable,seed_values
seed,P1,S_CP-S0,S_CP-S0,48,-2.126035840525833,,,True,
seed,P1,S_CP-S0,S_CP-S0,49,-8.96344792076884,,,True,
seed,P1,S_CP-S0,S_CP-S0,50,-1.141057058073791,,,True,
seed,P1,S_CP-S0,S_CP-S0,51,-0.658275794726257,,,True,
seed,P1,S_CP-S0,S_CP-S0,52,-1.787663383621033,,,True,
seed,P1,S_CE-S0,S_CE-S0,48,-3.5350815499401667,,,True,
seed,P1,S_CE-S0,S_CE-S0,49,-10.679193970348635,,,True,
seed,P1,S_CE-S0,S_CE-S0,50,-2.5510616550097627,,,True,
seed,P1,S_CE-S0,S_CE-S0,51,-3.7827391291687578,,,True,
seed,P1,S_CE-S0,S_CE-S0,52,-3.286992210617892,,,True,
seed,P1,S_CONC-S0,S_CONC-S0,48,-3.7969955276083485,,,True,
seed,P1,S_CONC-S0,S_CONC-S0,49,-10.910762986414374,,,True,
seed,P1,S_CONC-S0,S_CONC-S0,50,-3.959753977807018,,,True,
seed,P1,S_CONC-S0,S_CONC-S0,51,-4.063458129381546,,,True,
seed,P1,S_CONC-S0,S_CONC-S0,52,-4.001498738789275,,,True,
seed,P1,S_CONC-S_PROP,S_CONC-S_PROP,48,-0.892864277871396,,,True,
seed,P1,S_CONC-S_PROP,S_CONC-S_PROP,49,-0.8086296563213429,,,True,
seed,P1,S_CONC-S_PROP,S_CONC-S_PROP,50,-1.3345213453169014,,,True,
seed,P1,S_CONC-S_PROP,S_CONC-S_PROP,51,-0.6122965266142124,,,True,
seed,P1,S_CONC-S_PROP,S_CONC-S_PROP,52,-1.3583673667207825,,,True,
seed,P1,S_CONC-S_REMI,S_CONC-S_REMI,48,-3.4759563755977854,,,True,
seed,P1,S_CONC-S_REMI,S_CONC-S_REMI,49,-3.4122036575381,,,True,
seed,P1,S_CONC-S_REMI,S_CONC-S_REMI,50,-3.5375992278398507,,,True,
seed,P1,S_CONC-S_REMI,S_CONC-S_REMI,51,-15.410245470778145,,,True,
seed,P1,S_CONC-S_REMI,S_CONC-S_REMI,52,-4.3067077742613,,,True,
seed,P1,S_CONC-S_CP,S_CONC-S_CP,48,-1.6709596870825156,,,True,
seed,P1,S_CONC-S_CP,S_CONC-S_CP,49,-1.9473150656455354,,,True,
seed,P1,S_CONC-S_CP,S_CONC-S_CP,50,-2.818696919733227,,,True,
seed,P1,S_CONC-S_CP,S_CONC-S_CP,51,-3.4051823346552887,,,True,
seed,P1,S_CONC-S_CP,S_CONC-S_CP,52,-2.2138353551682424,,,True,
seed,P1,S_CONC-S_CE,S_CONC-S_CE,48,-0.2619139776681818,,,True,
seed,P1,S_CONC-S_CE,S_CONC-S_CE,49,-0.23156901606573932,,,True,
seed,P1,S_CONC-S_CE,S_CONC-S_CE,50,-1.4086923227972554,,,True,
seed,P1,S_CONC-S_CE,S_CONC-S_CE,51,-0.28071900021278795,,,True,
seed,P1,S_CONC-S_CE,S_CONC-S_CE,52,-0.7145065281713832,,,True,
seed,P1,S_PROP-S_REMI,S_PROP-S_REMI,48,-2.5830920977263894,,,True,
seed,P1,S_PROP-S_REMI,S_PROP-S_REMI,49,-2.603574001216757,,,True,
seed,P1,S_PROP-S_REMI,S_PROP-S_REMI,50,-2.2030778825229493,,,True,
seed,P1,S_PROP-S_REMI,S_PROP-S_REMI,51,-14.797948944163933,,,True,
seed,P1,S_PROP-S_REMI,S_PROP-S_REMI,52,-2.948340407540517,,,True,
seed,P1,S_CE-S_CP,S_CE-S_CP,48,-1.4090457094143338,,,True,
seed,P1,S_CE-S_CP,S_CE-S_CP,49,-1.715746049579796,,,True,
seed,P1,S_CE-S_CP,S_CE-S_CP,50,-1.4100045969359716,,,True,
seed,P1,S_CE-S_CP,S_CE-S_CP,51,-3.124463334442501,,,True,
seed,P1,S_CE-S_CP,S_CE-S_CP,52,-1.4993288269968592,,,True,
summary,P0,S_PROP-S0,S_PROP-S0,mean,-3.3537823150663093,1.6655616128736412,5,,"[-3.100210134635767, -6.21758523914065, -2.918869111209381, -1.894934097487032, -2.6373129928587185]"
summary,P0,S_REMI-S0,S_REMI-S0,mean,2.248651461241441,4.5356636543698245,3,,"[-0.38278938896513015, -1.2008098707477703, 3.3760595275898293, 9.721702842729021, -0.2709058043987431]"
summary,P0,S_CP-S0,S_CP-S0,mean,-0.6531973231722169,4.270029523589069,4,,"[-2.3038452058742536, -5.527406894475711, -0.09016083298437394, 6.093439281282103, -1.4380129638088492]"
summary,P0,S_CE-S0,S_CE-S0,mean,-3.7184190955886733,1.7781714327381777,5,,"[-3.433235757742017, -6.845869638700176, -3.016737318905158, -2.6174031264762454, -2.6788496361197702]"
summary,P0,S_CONC-S0,S_CONC-S0,mean,-4.4425069632720975,1.5758044612105204,5,,"[-3.8871320069673247, -7.114710700510429, -4.477580407447748, -3.0776329329854826, -3.655478768449504]"
summary,P0,S_CONC-S_PROP,S_CONC-S_PROP,mean,-1.088724648205788,0.3010366736929766,5,,"[-0.7869218723315576, -0.8971254613697788, -1.558711296238367, -1.1826988354984507, -1.0181657755907856]"
summary,P0,S_CONC-S_REMI,S_CONC-S_REMI,mean,-6.691158424513539,3.88441197533832,5,,"[-3.5043426180021946, -5.9139008297626585, -7.853639935037577, -12.799335775714503, -3.384572964050761]"
summary,P0,S_CONC-S_CP,S_CONC-S_CP,mean,-3.78930964009988,3.221302663552602,5,,"[-1.5832868010930712, -1.587303806034718, -4.387419574463374, -9.171072214267586, -2.217465804640655]"
summary,P0,S_CONC-S_CE,S_CONC-S_CE,mean,-0.7240878676834246,0.48899375946982626,5,,"[-0.4538962492253078, -0.2688410618102539, -1.4608430885425903, -0.46022980650923717, -0.9766291323297338]"
summary,P0,S_PROP-S_REMI,S_PROP-S_REMI,mean,-5.602433776307751,3.734580058932555,5,,"[-2.717420745670637, -5.01677536839288, -6.2949286387992105, -11.616636940216054, -2.3664071884599753]"
summary,P0,S_CE-S_CP,S_CE-S_CP,mean,-3.0652217724164563,3.2411126748454007,5,,"[-1.1293905518677634, -1.318462744224464, -2.926576485920784, -8.71084240775835, -1.240836672310921]"
summary,P1,S_PROP-S0,S_PROP-S0,mean,-4.345158037431185,3.2354903228309277,5,,"[-2.9041312497369525, -10.10213333009303, -2.6252326324901167, -3.4511616027673333, -2.643131372068493]"
summary,P1,S_REMI-S0,S_REMI-S0,mean,0.6820486292029235,6.764363544376233,3,,"[-0.3210391520105631, -7.498559328876274, -0.4221547499671674, 11.346787341396599, 0.30520903547202405]"
summary,P1,S_CP-S0,S_CP-S0,mean,-2.9352959995431513,3.4174073726915917,5,,"[-2.126035840525833, -8.96344792076884, -1.141057058073791, -0.658275794726257, -1.787663383621033]"
summary,P1,S_CE-S0,S_CE-S0,mean,-4.767013703017042,3.3369610380166628,5,,"[-3.5350815499401667, -10.679193970348635, -2.5510616550097627, -3.7827391291687578, -3.286992210617892]"
summary,P1,S_CONC-S0,S_CONC-S0,mean,-5.346493872000112,3.1120843520156063,5,,"[-3.7969955276083485, -10.910762986414374, -3.959753977807018, -4.063458129381546, -4.001498738789275]"
summary,P1,S_CONC-S_PROP,S_CONC-S_PROP,mean,-1.001335834568927,0.33118628911994097,5,,"[-0.892864277871396, -0.8086296563213429, -1.3345213453169014, -0.6122965266142124, -1.3583673667207825]"
summary,P1,S_CONC-S_REMI,S_CONC-S_REMI,mean,-6.028542501203036,5.257061648412844,5,,"[-3.4759563755977854, -3.4122036575381, -3.5375992278398507, -15.410245470778145, -4.3067077742613]"
summary,P1,S_CONC-S_CP,S_CONC-S_CP,mean,-2.411197872456962,0.699312587008664,5,,"[-1.6709596870825156, -1.9473150656455354, -2.818696919733227, -3.4051823346552887, -2.2138353551682424]"
summary,P1,S_CONC-S_CE,S_CONC-S_CE,mean,-0.5794801689830695,0.5042255462251757,5,,"[-0.2619139776681818, -0.23156901606573932, -1.4086923227972554, -0.28071900021278795, -0.7145065281713832]"
summary,P1,S_PROP-S_REMI,S_PROP-S_REMI,mean,-5.027206666634109,5.4683746280128025,5,,"[-2.5830920977263894, -2.603574001216757, -2.2030778825229493, -14.797948944163933, -2.948340407540517]"
summary,P1,S_CE-S_CP,S_CE-S_CP,mean,-1.8317177034738923,0.7334194936884977,5,,"[-1.4090457094143338, -1.715746049579796, -1.4100045969359716, -3.124463334442501, -1.4993288269968592]"
