action_boundary_fraction,action_sd,case_count,condition_id,consecutive_action_variation,core_clip_fraction,cumulative_reward,kind,mae_0_1800,mae_0_600,mae_600_1800,seed,sqi_rejection_fraction,stale_fraction,subject_count,time_above_60_fraction,time_below_40_fraction,time_in_40_60_fraction,total_propofol_mg,visible_fraction
0.002951388888888889,0.3437484831576321,96,P0S0,0.01771411173101133,0.0,51.73420929859734,primary,6.795804202533383,13.520360509289452,3.4335260491553488,48,0.0,0.0010416666666666667,96,0.13402777777777777,0.013541666666666665,0.8524305555555557,230.1951223833797,0.5440972222222222
0.010532407407407407,0.32727087366125307,96,P1S0,0.018961837220402847,0.0,54.57056604054287,primary,6.679634325920851,13.256099632042824,3.391401672859866,48,0.13107638888888887,0.0011574074074074073,96,0.13466435185185185,0.011458333333333333,0.8538773148148149,228.71679017692804,0.41290509259259256
0.03142361111111111,0.5591612796754896,96,P0S1,0.037916732149014816,0.0,122.82845656511795,primary,2.691811775139661,6.982470378570693,0.5464824734241447,48,0.0,0.0010416666666666667,96,0.06921296296296296,0.0,0.930787037037037,215.0219473152732,0.5440972222222222
0.032754629629629634,0.5749888503757952,96,P1S1,0.04472848770227734,0.0,120.66211612557554,primary,2.639911151321451,6.701522408949303,0.6091055225075248,48,0.13107638888888887,0.0011574074074074073,96,0.0671875,0.0,0.9328125000000002,215.4570713598902,0.41290509259259256
0.0,0.08533973387664222,96,P0S0,0.006271046759765353,0.0,36.01254905217314,primary,10.127281566386163,21.35406788814636,4.513888405506063,49,0.0,0.0010416666666666667,96,0.31354166666666666,0.0005208333333333333,0.6859375,180.79356400234005,0.5440972222222222
0.0,0.1411290273639503,96,P1S0,0.010666552131555046,0.0,32.031189547221935,primary,13.918837827330277,25.271158107200648,8.242677687395089,49,0.13107638888888887,0.0011574074074074073,96,0.6074652777777778,0.00028935185185185184,0.3922453703703703,145.62456959672272,0.41290509259259256
0.030208333333333334,0.46390587172986414,96,P0S1,0.03369699783616281,0.0,110.56311852479013,primary,3.36648980122301,8.759967549865992,0.6697509269015186,49,0.0,0.0010416666666666667,96,0.08750000000000001,0.0,0.9125000000000001,210.44353186991066,0.5440972222222222
0.02685185185185185,0.45679872632480345,96,P1S1,0.040039683220425906,0.0,107.06328584165362,primary,3.39976666561787,8.732339028673442,0.7334804840900855,49,0.13107638888888887,0.0011574074074074073,96,0.08778935185185187,0.0,0.9122106481481483,211.60200891053924,0.41290509259259256
0.01539351851851852,0.46690672384660187,96,P0S0,0.02316913835780636,0.0,56.69050481268101,primary,6.990420662570674,12.548693749801517,4.211284118955252,50,0.0,0.0010416666666666667,96,0.11412037037037037,0.0958912037037037,0.7899884259259259,240.56624726547548,0.5440972222222222
0.0026041666666666665,0.2542408403636334,96,P1S0,0.020628993010956595,0.0,56.23281871851958,primary,6.68828625499782,14.93611954589428,2.56436960954959,50,0.13107638888888887,0.0011574074074074073,96,0.1626736111111111,0.000462962962962963,0.8368634259259258,201.92196650865176,0.41290509259259256
0.021643518518518517,0.21686927921583163,96,P0S1,0.021033251821106814,0.0,53.760551638987984,primary,9.999368698721366,20.80216122802489,4.597972434069605,50,0.0,0.0010416666666666667,96,0.472800925925926,0.0,0.5271990740740741,165.3896338888444,0.5440972222222222
0.026793981481481478,0.22591485135986397,96,P1S1,0.02415408799511483,0.0,50.402537799219004,primary,10.957328411134787,21.938524956845196,5.466730138279584,50,0.13107638888888887,0.0011574074074074073,96,0.5144675925925926,0.0,0.48553240740740744,161.5997087933744,0.41290509259259256
0.022858796296296294,0.3610224632823345,96,P0S0,0.020664520311954968,0.0,54.2173731367106,primary,6.172698469852591,12.758037731229578,2.880028839164097,51,0.0,0.0010416666666666667,96,0.13038194444444443,0.0005208333333333333,0.8690972222222223,206.99765913172936,0.5440972222222222
0.0002893518518518519,0.2912672926304794,96,P1S0,0.016075130382091418,0.0,49.68965737719856,primary,7.107618292070494,13.67602274882266,3.82341606369441,51,0.13107638888888887,0.0011574074074074073,96,0.1615162037037037,0.005497685185185185,0.8329861111111111,219.4005921718975,0.41290509259259256
0.030729166666666665,0.4930652038989652,96,P0S1,0.03287877614681004,0.0,107.44440392535091,primary,3.172599934882261,8.041131720321186,0.7383340421627981,51,0.0,0.0010416666666666667,96,0.08125,0.0,0.9187499999999998,215.35850965728363,0.5440972222222222
0.03234953703703703,0.506644995094451,96,P1S1,0.03464404741055861,0.0,113.94492019368602,primary,3.0361618156520684,7.785228039599173,0.661628703678517,51,0.13107638888888887,0.0011574074074074073,96,0.07847222222222222,0.0,0.9215277777777778,211.7806638237089,0.41290509259259256
0.004745370370370371,0.375333711230798,96,P0S0,0.018473440098786098,0.0,58.78256305739973,primary,6.611796306368329,13.31355241313893,3.2609182529830263,52,0.0,0.0010416666666666667,96,0.1308449074074074,0.01880787037037037,0.8503472222222223,223.97621759725735,0.5440972222222222
0.0005208333333333333,0.28258183374684287,96,P1S0,0.016906194314291245,0.0,50.182481417493385,primary,6.893067654611158,13.269455370339637,3.7048737967469165,52,0.13107638888888887,0.0011574074074074073,96,0.1343171296296296,0.011979166666666666,0.8537037037037036,227.62650934110084,0.41290509259259256
0.03304398148148148,0.5294908215108906,96,P0S1,0.04163360694385163,0.0,111.37889927997008,primary,2.9335778144648956,7.4452586336180415,0.6777374048883225,52,0.0,0.0010416666666666667,96,0.07482638888888887,0.0,0.9251736111111111,211.4340505367145,0.5440972222222222
0.030381944444444444,0.48673986248900114,96,P1S1,0.04647464608666061,0.0,104.74164269330686,primary,3.208601993957577,7.999185929167841,0.8133100263524451,52,0.13107638888888887,0.0011574074074074073,96,0.08177083333333335,0.0,0.9182291666666665,216.83958006557077,0.41290509259259256
0.0,0.0,96,P0,0.0,0.0,33.02134117608434,baseline,9.467998629801706,13.562429174408992,7.420783357498062,constant,0.0,0.0010416666666666667,96,0.14085648148148147,0.22939814814814818,0.6297453703703703,270.0,0.5440972222222222
0.0014467592592592594,0.34419904065080936,96,P0,0.022196007008209923,0.0,46.40741279869727,baseline,6.508543141942378,12.84958736813244,3.3380210288473475,P,0.0,0.0010416666666666667,96,0.13258101851851853,0.001388888888888889,0.8660300925925926,229.089050469629,0.5440972222222222
0.004629629629629629,0.4927698145154535,96,P0,0.020874175500217695,0.0,66.47771018036184,baseline,6.005172766371275,11.692486830231397,3.1615157344412133,PI,0.0,0.0010416666666666667,96,0.10844907407407407,0.04155092592592592,0.85,233.27687497768056,0.5440972222222222
0.0,0.0,96,P1,0.0,0.0,33.02134117608434,baseline,9.467998629801706,13.562429174408992,7.420783357498062,constant,0.13107638888888887,0.0011574074074074073,96,0.14085648148148147,0.22939814814814818,0.6297453703703703,270.0,0.41290509259259256
0.007928240740740741,0.28502113703980303,96,P1,0.018223156861603623,0.0,42.82319868111748,baseline,7.02510152104783,13.27939147287197,3.8979565451357594,P,0.13107638888888887,0.0011574074074074073,96,0.13888888888888887,0.020833333333333332,0.8402777777777777,232.1340317584909,0.41290509259259256
0.011574074074074075,0.4368793768799364,96,P1,0.02102554207325048,0.0,56.01716845967277,baseline,6.949647712349229,11.885881497466556,4.481530819790565,PI,0.13107638888888887,0.0011574074074074073,96,0.11307870370370371,0.07824074074074074,0.8086805555555555,243.36624648630035,0.41290509259259256
0.007465277777777778,0.3106641484006752,96,P0S0,0.021489966260113198,0.0,53.560374536896745,day03_transfer,5.994427063607247,11.887333275806283,3.0479739575077303,45,0.0,0.0010416666666666667,96,0.12251157407407405,0.003993055555555556,0.8734953703703704,225.96644546215734,0.5440972222222222
0.006481481481481481,0.2877742116947695,96,P0S0,0.02288316994093816,0.0,33.95436769440246,day03_transfer,7.817966291659687,11.33746857576657,6.058215149606248,46,0.0,0.0010416666666666667,96,0.11064814814814816,0.03287037037037036,0.8564814814814815,261.48395227951306,0.5440972222222222
0.0,0.09795543219390213,96,P0S0,0.014861048357058282,0.0,27.92509680029229,day03_transfer,9.73767350302524,11.793948854256543,8.709535827409589,47,0.0,0.0010416666666666667,96,0.11620370370370374,0.26927083333333335,0.614525462962963,290.1736470479518,0.5440972222222222
0.02309027777777778,0.6270272467240959,96,P0S1,0.04764924340081892,0.0,116.89946018194905,day03_transfer,2.529923922910099,6.145682408727285,0.722044680001507,45,0.0,0.0010416666666666667,96,0.060821759259259256,0.0,0.9391782407407406,218.7864876516784,0.5440972222222222
0.04016203703703704,0.8022080959032422,96,P0S1,0.06930523453145053,0.0,110.25916817466658,day03_transfer,2.307581512602199,5.269164826824269,0.8267898554911636,46,0.0,0.0010416666666666667,96,0.05005787037037038,0.0,0.9499421296296294,217.73371692281216,0.5440972222222222
0.24247685185185186,0.8855115021291565,96,P0S1,0.04024713651192144,0.0,55.80774965938955,day03_transfer,8.294993025232616,6.457878019150507,9.213550528273668,47,0.0,0.0010416666666666667,96,0.4283564814814815,0.0,0.5716435185185186,156.15507495061806,0.5440972222222222
