action_boundary_fraction,action_sd,consecutive_action_variation,core_clip_fraction,cumulative_reward,mae_0_1800,mae_0_600,mae_600_1800,mean_deterministic_action,profile,seed,sqi_rejection_fraction,stale_fraction,state,step,subject_count,time_above_60_fraction,time_below_40_fraction,time_in_40_60_fraction,total_propofol_mg,visible_fraction
0.021527777777777778,0.4657391126459841,0.04720299756778769,0.0,56.34372239714099,6.654082501820053,11.466444713487178,4.24790139598649,1.3780654889350343,P0,48,0.0,0.0,S0,131072,32,0.10347222222222222,0.10086805555555556,0.7956597222222223,248.05178800830618,0.5607638888888888
0.00034722222222222224,0.39091823979993884,0.02627591200318583,0.0,35.73878033793186,8.491116650697343,12.491464044022045,6.490942954034992,1.37863018250662,P1,48,0.08871527777777777,0.0,S0,131072,32,0.11163194444444444,0.1545138888888889,0.7338541666666667,248.1534328511916,0.4720486111111111
0.028993055555555557,0.40324960802878745,0.03777999048480275,0.0,70.81505246794995,4.778067424864464,11.056093012040908,1.6390546312762413,1.1274384664889012,P0,48,0.0,0.0,S_CUM,131072,32,0.11493055555555556,0.0,0.8850694444444445,202.9389239680022,0.5607638888888888
0.005729166666666667,0.3669176812913306,0.03825508526333883,0.0,68.47950268575238,5.03066089460993,11.312741211632222,1.8896207360987833,1.1174155333079399,P1,48,0.08871527777777777,0.0,S_CUM,131072,32,0.11493055555555556,0.0,0.8850694444444444,201.13479599542916,0.4720486111111111
0.04201388888888889,0.6095269752479284,0.04272280223459505,0.0,109.06152205865025,2.7150991211520044,6.664338707131526,0.7404793281622442,1.2257747922196156,P0,48,0.0,0.0,S_CONC,131072,32,0.06510416666666666,0.0,0.9348958333333333,220.63946259953082,0.5607638888888888
0.03732638888888889,0.5495233782522981,0.058250508031823446,0.0,106.56239849784876,2.8691607295965267,7.337422065258868,0.6350300617653559,1.2038477523148887,P1,48,0.08871527777777777,0.0,S_CONC,131072,32,0.07100694444444444,0.0,0.9289930555555556,216.69259541667998,0.4720486111111111
0.034027777777777775,0.5430069257850596,0.047202383126418355,0.0,96.67637180110219,3.1522050555251413,7.6392604930909425,0.9086773367422406,1.2234798023968727,P0,48,0.0,0.0,S_CORE,131072,32,0.07378472222222221,0.0,0.9262152777777779,220.2263644314371,0.5607638888888888
0.03333333333333333,0.5280975670604386,0.0692006585515994,0.0,104.6633021016071,3.0744694497411302,7.7344708640178705,0.7444687426027596,1.207415079514289,P1,48,0.08871527777777777,0.0,S_CORE,131072,32,0.07777777777777778,0.0,0.9222222222222223,217.33471431257203,0.4720486111111111
0.0375,0.5191776927795168,0.04027161553148284,0.0,107.59505867466748,3.111554596798962,8.071815103027095,0.6314243436848956,1.1934379688050183,P0,48,0.0,0.0,S1,131072,32,0.08038194444444444,0.0,0.9196180555555555,214.8188343849033,0.5607638888888888
0.03020833333333333,0.5238954868158764,0.053596172580630756,0.0,92.02541652167443,3.368057990872432,8.096354377224765,1.0039097976962656,1.219778821607017,P1,48,0.08871527777777777,0.0,S1,131072,32,0.08072916666666666,0.0,0.9192708333333333,219.56018788926303,0.4720486111111111
0.00798611111111111,0.3435494069068167,0.032548742160700556,0.0,47.33583278325098,11.616159037451844,23.150167981618686,5.849154565368423,0.9475977671552552,P0,49,0.0,0.0,S0,131072,32,0.4774305555555556,0.0,0.5225694444444444,170.56759808794595,0.5607638888888888
0.0012152777777777778,0.1207869260605987,0.018606594696058243,0.0,28.66627173766554,14.726704554988792,26.229947897150485,8.975082883907948,0.74435409176836,P1,49,0.08871527777777777,0.0,S0,131072,32,0.5564236111111112,0.0,0.4435763888888889,133.9837365183048,0.4720486111111111
0.028298611111111108,0.414075824523503,0.03500510393199641,0.0,65.60775616598124,4.9789402698964444,11.199433338262814,1.8686937357132611,1.0944500481554618,P0,49,0.0,0.0,S_CUM,131072,32,0.11527777777777777,0.0,0.8847222222222222,197.00100866798311,0.5607638888888888
0.016493055555555556,0.40264158435189673,0.04799145850868032,0.0,64.01382457577719,5.420091074569008,11.44142678587269,2.4094232189171674,1.0819581990776999,P1,49,0.08871527777777777,0.0,S_CUM,131072,32,0.11840277777777777,0.0,0.8815972222222223,194.75247583398595,0.4720486111111111
0.035763888888888894,0.57052596338497,0.04448787886753429,0.0,101.42205879157873,3.0619802030359238,7.38724672079643,0.8993469441556713,1.2255828755597273,P0,49,0.0,0.0,S_CONC,131072,32,0.07100694444444444,0.0,0.9289930555555556,220.60491760075092,0.5607638888888888
0.03767361111111111,0.5648723984833488,0.047615978976076875,0.0,88.28177065955553,3.3718316831425996,7.82688614433423,1.1443044525467845,1.237618414972288,P1,49,0.08871527777777777,0.0,S_CONC,131072,32,0.07256944444444444,0.0,0.9274305555555555,222.77131469501182,0.4720486111111111
0.0375,0.5846441043775766,0.055573728375199284,0.0,106.5569265864661,2.8475529033811604,7.152428278293868,0.6951152159248064,1.2190866434015333,P0,49,0.0,0.0,S_CORE,131072,32,0.06996527777777778,0.0,0.9300347222222223,219.435595812276,0.5607638888888888
0.035243055555555555,0.5565369035362594,0.0678016403013601,0.0,107.18159849591552,2.9331375421899013,7.383023453335222,0.7081945866172414,1.1989306174425616,P1,49,0.08871527777777777,0.0,S_CORE,131072,32,0.07309027777777777,0.0,0.9269097222222222,215.80751113966107,0.4720486111111111
0.0171875,0.3063544205493641,0.03816928621381521,0.0,54.922358130993764,6.846875441964018,14.637405375875927,2.9516104750080636,1.0188150192041778,P0,49,0.0,0.0,S1,131072,32,0.1640625,0.0,0.8359375,183.386703456752,0.5607638888888888
0.022916666666666665,0.2886420083579722,0.04362717920955916,0.0,56.099631028410116,6.88748582187719,15.038765407676575,2.8118460289774987,1.0257494829284648,P1,49,0.08871527777777777,0.0,S1,131072,32,0.16875,0.0,0.83125,184.63490692712367,0.4720486111111111
0.007118055555555556,0.20644687637794285,0.02165220918747799,0.0,56.671477641077686,7.635938721315474,17.65687307754584,2.6254715432002906,1.0542388375796792,P0,50,0.0,0.0,S0,131072,32,0.22586805555555556,0.0,0.7741319444444444,189.76299076434225,0.5607638888888888
0.0006944444444444445,0.190492289769222,0.032852853206116396,0.0,32.41282929990468,11.802791230526632,21.617019943394734,6.89567687409258,1.0059654886886062,P1,50,0.08871527777777777,0.0,S0,131072,32,0.4407986111111112,0.0022569444444444442,0.5569444444444445,181.07378796394914,0.4720486111111111
0.018055555555555554,0.3917429522757333,0.025655508756783255,0.0,69.03295056175337,5.088552745556751,11.791776040537894,1.7369410980661801,1.1533760644262658,P0,50,0.0,0.0,S_CUM,131072,32,0.11822916666666666,0.0,0.8817708333333334,207.60769159672782,0.5607638888888888
0.016319444444444442,0.36232803450926343,0.03826368352471117,0.0,74.75945773116192,4.896729920759464,11.702909142192675,1.4936403100428577,1.137592386097337,P1,50,0.08871527777777777,0.0,S_CUM,131072,32,0.11979166666666666,0.0,0.8802083333333334,204.76662949752063,0.4720486111111111
0.032638888888888884,0.5775941215081571,0.04063768786320973,0.0,105.48623228837837,2.8323757854832246,7.001153153654538,0.7479871013975681,1.2032409795042542,P0,50,0.0,0.0,S_CONC,131072,32,0.06753472222222223,0.0,0.9324652777777778,216.58337631076574,0.5607638888888888
