condition_id,state_id,sqi_threshold,age_seconds,seed,actual_timesteps,elapsed_seconds,steps_per_second,mae,return,time_in_40_60_fraction,time_below_40_fraction,total_propofol_mg,action_sd,action_boundary_fraction,core_clip_fraction,bis_counterfactual_action_delta_mean,evidence_scope
Goff_A30_S0,S0,,30,45,262144,253.9335946000001,1032.3328837719682,5.410312700734856,37.30599007045629,0.8333333333333333,0.0,114.74181428551674,1.0031266472994975,0.0,0.0,1.0888916015625,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,45,262144,262.02274410000064,1000.4627686058928,5.680371908490242,32.708317125588145,0.8291666666666666,0.0,116.59546315670013,1.0159738374493357,0.0,0.0,1.562195388227701,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,45,262144,264.6838802000002,990.4040994182153,6.21582364887848,25.90290489600703,0.825,0.0,111.5563026368618,1.0023044267636696,0.0,0.0,0.6368642861644427,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,45,262144,267.45347589999983,980.1480392725013,6.4640229468721895,30.751478842873563,0.8166666666666667,0.0,111.99485554546118,1.2351738203151386,0.0,0.0,1.1338313723603883,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,45,262144,270.9357690000015,967.5503569261042,7.910419249643697,20.225267585098216,0.7958333333333334,0.0,104.32786092534661,0.8115986128809116,0.004166666666666667,0.0,0.571229045589765,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,45,262144,270.4233378000008,969.3837896264558,5.977522588184769,37.00947507525412,0.8208333333333333,0.0,115.08853206038475,0.9692012631092792,0.0,0.0,1.5796241129438082,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,45,262144,271.6371992000004,965.0519176756393,7.052763789982018,19.112677655148367,0.8291666666666666,0.0,105.76081871986389,1.0158191849721097,0.0,0.0,0.47446616465846697,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,45,262144,270.8162209000002,967.9774687380989,5.872239132545493,26.726421710499032,0.8333333333333333,0.0,112.85182915627956,1.1117597097568477,0.0,0.0,1.1563441790640354,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S0,S0,,30,46,262144,253.53553649999867,1033.9536761545905,4.842787814831401,36.52209434709933,0.8541666666666667,0.0,117.87269032001495,1.2232077583280918,0.0,0.0,1.4744162189463774,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,46,262144,262.34768839999924,999.2235936926241,4.98723723102434,37.46466833357187,0.8416666666666667,0.0,115.82425613701344,1.3306199587220853,0.0,0.0,2.1175567083060742,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,46,262144,265.4384095000005,987.588798824533,7.167446027332085,22.942460490802834,0.8,0.0,108.48931623995304,1.0164543982829835,0.0,0.0,1.1968658072253069,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,46,262144,267.7199407999997,979.1724860563704,7.531094589340997,17.949225729671905,0.7958333333333334,0.0,105.96115063130856,1.077369316639813,0.0,0.0,1.214952468375365,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,46,262144,271.77833310000096,964.5507683040502,7.866381949121872,16.488599292170534,0.8,0.0,103.56454786658287,0.7884582454231743,0.0,0.0,0.1044741302728653,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,46,262144,270.21983569999975,970.11383091445,6.696425152869926,24.403682857080305,0.8208333333333333,0.0,117.14715415239334,0.8109683591464125,0.0,0.0,0.3012501726547877,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,46,262144,271.70715350000137,964.803453362146,8.17980480150593,21.207045426133426,0.7791666666666667,0.0,105.3100223094225,0.8029807424504287,0.008333333333333333,0.0,0.3978096961975098,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,46,262144,270.9723474000002,967.4197478646479,6.273786336679379,25.39569535528981,0.8208333333333333,0.0,114.17012110352516,0.8768906700317654,0.0,0.0,0.33387781331936517,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S0,S0,,30,47,262144,272.42402949999996,962.2646008178219,6.308416264453372,33.811809074765534,0.8125,0.0,112.29241481423378,0.9067041891108562,0.0,0.0,1.249752094844977,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,47,262144,271.93284479999966,964.0027124814617,5.510474333575161,30.735130597079166,0.8291666666666666,0.0,113.41358302533627,1.074935916632596,0.0,0.0,1.303095747778813,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,47,262144,279.07652600000074,939.3265845655515,6.766131176500292,26.01693375845484,0.8,0.0,112.68857803940773,0.9515261743697065,0.0,0.0,1.1387038817008337,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,47,262144,271.66788149999957,964.9429242521642,8.020702301243261,25.160597664769128,0.775,0.0,109.6901512593031,0.9126927661340816,0.008333333333333333,0.0,0.6633755785723527,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,47,262144,274.7361611999986,954.166349471441,5.83485401688679,36.87445031675399,0.825,0.0,114.54019290208817,1.108108286772654,0.0,0.0,1.3622793095807235,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,47,262144,274.16206650000095,956.1643714849921,7.031976074937398,25.403483425421314,0.8,0.0,110.4833167269826,0.9616630290436832,0.0125,0.0,1.7502725002666315,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,47,262144,274.41795939999975,955.2727546446446,7.2138805440709035,24.733940464026965,0.8125,0.0,109.58636593818665,1.2159883711922603,0.03333333333333333,0.0,0.941935612509648,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,47,262144,274.6935160000012,954.3144804335275,5.937780682730733,28.945487053311187,0.8333333333333333,0.0,113.86095687747002,1.171110678136253,0.0,0.0,1.038930811236302,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
