condition_id,state_id,sqi_threshold,age_seconds,seed,actual_timesteps,elapsed_seconds,steps_per_second,mae,return,time_in_40_60_fraction,time_below_40_fraction,total_propofol_mg,action_sd,action_boundary_fraction,core_clip_fraction,bis_counterfactual_action_delta_mean,evidence_scope
Goff_A30_S0,S0,,30,45,65536,65.80130419999978,995.9681011915296,8.9129657081784,17.03941937862875,0.7291666666666667,0.0,103.94378945231438,0.501729307830957,0.0,0.0,0.2896947473287582,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,45,65536,66.92583740000009,979.2331713132947,7.721347882995084,24.18219168593044,0.7791666666666667,0.0,107.99599634110928,0.6441391057880327,0.0,0.0,1.599305259436369,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,45,65536,67.35783250000031,972.9529227354473,8.15753441134968,24.048533663649923,0.7625,0.0,108.17610198259354,0.7255052279452682,0.008333333333333333,0.0,1.0520388727386794,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,45,65536,67.69601700000021,968.0924063818968,7.663033504281016,21.447314528846604,0.775,0.0,107.44213896989822,0.7553313448441676,0.0,0.0,1.183347162604332,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,45,65536,68.35199069999999,958.8016285822677,10.239876434073103,18.658130466378232,0.7166666666666666,0.0,99.5303288474679,0.5475319919840508,0.0,0.0,0.35793059021234513,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,45,65536,68.16486970000005,961.4336576660389,8.371008319659541,23.734024603661112,0.7666666666666666,0.0,107.12334645539522,0.5869168642906464,0.0,0.0,0.322797791659832,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,45,65536,68.37937180000017,958.4176963731602,9.101806581796513,20.233754687602197,0.7541666666666667,0.0,102.93386569619179,0.7485752408271453,0.0,0.0,0.5966022397081058,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,45,65536,68.42963750000035,957.7136807132679,8.310505679132032,24.630934825730108,0.7666666666666667,0.0,108.2508440092206,0.7191620863173587,0.0,0.0,0.3334842150410016,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S0,S0,,30,46,65536,67.21550529999968,975.0131269190996,9.265638139157202,24.43541711295132,0.7166666666666666,0.0,109.11705565452576,0.4641718309859303,0.0,0.0,0.8259299273292223,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,46,65536,67.24386980000008,974.6018513645971,7.319702822709331,30.800697635968294,0.7791666666666667,0.0,112.90866534411907,0.7485419104257574,0.0,0.0,1.5250820199648538,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,46,65536,67.77834419999999,966.9165095951106,9.250101201155779,20.477111340332947,0.7374999999999999,0.0,104.04820791259408,0.8425157351278475,0.025,0.0,1.3750451641778152,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S0,S0,50,20,46,65536,68.58423439999979,955.5548818665562,9.148749007117448,21.920114450843748,0.7333333333333333,0.0,108.71830301731825,0.8661058170006174,0.0,0.0,1.7301905305435261,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S1,S1,,30,46,65536,68.91969740000013,950.9037687678511,16.364938375053008,4.851390741473141,0.42083333333333334,0.0,79.37975415587425,0.1713763443724678,0.0,0.0,0.02584655930598577,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S1,S1,,20,46,65536,68.72890030000008,953.5435561159404,23.888373655117146,2.7057153497740685,0.0,0.0,54.245446532964706,0.1293634576586401,0.004166666666666667,0.0,0.006572079161802928,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S1,S1,50,30,46,65536,68.50359219999973,956.679757882832,25.33951806925131,2.3922760742365403,0.0,0.0,46.14297794550657,0.5500138845776671,0.0,0.0,0.1043956559151411,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A20_S1,S1,50,20,46,65536,68.60921499999995,955.2069645455067,25.131849502085856,2.40512172292354,0.0,0.0,45.02567534521222,0.5031776602831945,0.0,0.0,0.03070305995643139,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A30_S0,S0,,30,47,65536,67.96594140000025,964.2476606672848,8.475019763107131,25.04954798199722,0.7416666666666667,0.0,106.3454293012619,0.6329498093251537,0.0,0.0,0.9371633800367515,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
Goff_A20_S0,S0,,20,47,65536,68.0200947000003,963.4799876278283,7.225027428796222,29.29906427880361,0.7833333333333333,0.0,111.18118207156658,0.7676368273411336,0.0,0.0,1.9311378125101328,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
G50_A30_S0,S0,50,30,47,65536,68.11779320000005,962.0981086040226,9.194046437777686,16.208930640457645,0.7291666666666666,0.0,102.57840339839458,0.5419337358159209,0.0,0.0,0.599184210350116,synthetic_engineering_only_not_vitaldb_or_clinical_evidence
