transform,state,seed,provenance,validation_subject_count,validation_case_count,collected_timesteps,trained_timesteps,training_epochs,latent_bis_mae,time_in_40_60_fraction,time_below_40_fraction,time_above_60_fraction,cumulative_reward,total_propofol_mg,action_sd,action_boundary_fraction,core_clip_fraction
N0,S0,45,reused,24,24,262144,260096,1270,12.149580325775256,0.6166666666666667,0.044444444444444446,0.33888888888888885,12.877667528603146,101.43388558675845,0.08953158797123673,0.0,0.0
N0,S0,46,reused,24,24,262144,260096,1270,12.07946038908026,0.6645833333333333,0.0,0.3354166666666667,12.000374227451587,96.5039814139406,0.19263495874345749,0.0,0.0
N0,S0,47,reused,24,24,262144,260096,1270,12.450976037274657,0.6430555555555555,0.0,0.35694444444444445,12.54436270336086,92.63626890877883,0.16059801165116058,0.0,0.0
N0,S1,45,reused,24,24,262144,260096,1270,35.48645217557719,0.10833333333333332,0.0,0.8916666666666667,3.1484995415299033,25.559307172894478,0.2408624549304755,0.0,0.0
N0,S1,46,reused,24,24,262144,260096,1270,32.88699528260716,0.0,0.0,1.0,1.874031208823979,18.457535080922145,0.2076806344026216,0.1951388888888889,0.0
N0,S1,47,reused,24,24,262144,260096,1270,8.368162381242954,0.7909722222222223,0.0,0.20902777777777778,22.119255698377145,99.84815792242686,0.7349516081723535,0.0,0.0
Nclip,S0,45,new,24,24,260096,260096,1270,12.180376460778367,0.6437499999999999,0.0,0.35625,12.734067560990582,91.78598898028334,0.158763522838424,0.0,0.0
Nclip,S0,46,new,24,24,260096,260096,1270,12.094144276839296,0.6645833333333333,0.008333333333333333,0.32708333333333334,11.644072092459261,100.28326934327681,0.187248074186935,0.0,0.0
Nclip,S0,47,new,24,24,260096,260096,1270,12.39627957752271,0.6284722222222222,0.0,0.37152777777777773,14.086100608817661,90.79026015102863,0.10720757691112019,0.0,0.0
Nclip,S1,45,reused,24,24,262144,260096,1270,6.743930588623173,0.8145833333333335,0.0,0.18541666666666667,32.560369999718546,97.51458306921025,0.9527873468328615,0.0,0.0
Nclip,S1,46,reused,24,24,262144,260096,1270,6.247465167974057,0.8284722222222222,0.0,0.17152777777777775,34.540082018094836,99.71278611694773,0.987537354752955,0.02013888888888889,0.0
Nclip,S1,47,reused,24,24,262144,260096,1270,6.573933017733299,0.8333333333333334,0.0,0.16666666666666666,22.092332392456285,101.12254997342825,1.1290212887701132,0.029861111111111113,0.0
Nscale,S0,45,new,24,24,260096,260096,1270,11.739543055317995,0.6430555555555555,0.0,0.35694444444444445,14.423024107893843,90.63824330146115,0.17025583355348664,0.005555555555555556,0.0
Nscale,S0,46,new,24,24,260096,260096,1270,11.437745771157106,0.6666666666666666,0.0,0.3333333333333333,13.800511634316805,97.65638791273038,0.1651917878270789,0.005555555555555556,0.0
Nscale,S0,47,new,24,24,260096,260096,1270,12.024598203135804,0.6375000000000001,0.015277777777777779,0.34722222222222215,13.125172227725086,98.87455368538697,0.06719687600365554,0.0,0.0
Nscale,S1,45,new,24,24,260096,260096,1270,6.161032373545512,0.81875,0.0,0.18125,33.78929989372858,98.5361191580693,0.8388373491405329,0.020833333333333332,0.0
Nscale,S1,46,new,24,24,260096,260096,1270,5.337046403674165,0.85,0.0,0.15,33.13656951936661,102.06137984618545,1.1401204615310676,0.04027777777777778,0.0
Nscale,S1,47,new,24,24,260096,260096,1270,6.491505230270401,0.7902777777777779,0.0,0.20972222222222223,25.120936647055657,94.62457302336891,1.0967658915965643,0.09375,0.0
