row_type,profile,contrast,formula,seed,delta,seed_sd,favorable_seed_count,favorable,seed_values
seed,P1,combined_core,S_CORE-S0,52,-3.9595692038796604,,,True,
seed,P1,cumulative_given_concentrations,S_CORE-S_CONC,48,-0.07996514698892465,,,True,
seed,P1,cumulative_given_concentrations,S_CORE-S_CONC,49,0.28876041535674446,,,False,
seed,P1,cumulative_given_concentrations,S_CORE-S_CONC,50,0.11593086682249476,,,False,
seed,P1,cumulative_given_concentrations,S_CORE-S_CONC,51,-0.39530765484608477,,,True,
seed,P1,cumulative_given_concentrations,S_CORE-S_CONC,52,0.04192953490961493,,,False,
seed,P1,concentration_given_cumulative,S_CORE-S_CUM,48,-2.3459598587878587,,,True,
seed,P1,concentration_given_cumulative,S_CORE-S_CUM,49,-2.3318291406931757,,,True,
seed,P1,concentration_given_cumulative,S_CORE-S_CUM,50,-5.401679268915677,,,True,
seed,P1,concentration_given_cumulative,S_CORE-S_CUM,51,-2.8370132591206407,,,True,
seed,P1,concentration_given_cumulative,S_CORE-S_CUM,52,-2.702348031394948,,,True,
seed,P1,group_interaction,S_CORE-S_CONC-S_CUM+S0,48,1.4510356688204897,,,False,
seed,P1,group_interaction,S_CORE-S_CONC-S_CUM+S0,49,8.578933845721199,,,False,
seed,P1,group_interaction,S_CORE-S_CONC-S_CUM+S0,50,-1.4419252911086584,,,True,
seed,P1,group_interaction,S_CORE-S_CONC-S_CUM+S0,51,1.226444870260905,,,False,
seed,P1,group_interaction,S_CORE-S_CONC-S_CUM+S0,52,1.2991507073943271,,,False,
seed,P1,redundant_recent,S1-S_CORE,48,-0.16276250000212755,,,True,
seed,P1,redundant_recent,S1-S_CORE,49,0.10293140934522604,,,False,
seed,P1,redundant_recent,S1-S_CORE,50,8.11286526712149,,,False,
seed,P1,redundant_recent,S1-S_CORE,51,0.38730930780920536,,,False,
seed,P1,redundant_recent,S1-S_CORE,52,0.27510354322608155,,,False,
seed,P1,original_full_state,S1-S0,48,-4.0397231745994,,,True,
seed,P1,original_full_state,S1-S0,49,-10.519071161712404,,,True,
seed,P1,original_full_state,S1-S0,50,4.269042156136967,,,False,
seed,P1,original_full_state,S1-S0,51,-4.071456476418425,,,True,
seed,P1,original_full_state,S1-S0,52,-3.684465660653579,,,True,
seed,P1,cumulative_main,0.5*((S_CUM-S0)+(S_CORE-S_CONC)),48,-0.8054829813991695,,,True,
seed,P1,cumulative_main,0.5*((S_CUM-S0)+(S_CORE-S_CONC)),49,-4.000706507503855,,,True,
seed,P1,cumulative_main,0.5*((S_CUM-S0)+(S_CORE-S_CONC)),50,0.8368935123768242,,,False,
seed,P1,cumulative_main,0.5*((S_CUM-S0)+(S_CORE-S_CONC)),51,-1.0085300899765373,,,True,
seed,P1,cumulative_main,0.5*((S_CUM-S0)+(S_CORE-S_CONC)),52,-0.6076458187875486,,,True,
seed,P1,concentration_main,0.5*((S_CONC-S0)+(S_CORE-S_CUM)),48,-3.0714776931981036,,,True,
seed,P1,concentration_main,0.5*((S_CONC-S0)+(S_CORE-S_CUM)),49,-6.621296063553775,,,True,
seed,P1,concentration_main,0.5*((S_CONC-S0)+(S_CORE-S_CUM)),50,-4.680716623361348,,,True,
seed,P1,concentration_main,0.5*((S_CONC-S0)+(S_CORE-S_CUM)),51,-3.450235694251093,,,True,
seed,P1,concentration_main,0.5*((S_CONC-S0)+(S_CORE-S_CUM)),52,-3.3519233850921113,,,True,
summary,P0,cumulative_only,S_CUM-S0,mean,-1.9064200764552957,1.6415752918982458,5,,"[-1.5990591138323573, -4.697833246096627, -1.5398871221675874, -0.3395614383460561, -1.355759461833851]"
summary,P0,concentration_only,S_CONC-S0,mean,-4.4425069632720975,1.5758044612105204,5,,"[-3.8871320069673247, -7.114710700510429, -4.477580407447748, -3.0776329329854826, -3.655478768449504]"
summary,P0,combined_core,S_CORE-S0,mean,-3.6620617141064917,2.8324240231835307,4,,"[-3.9118580979946196, -7.378152580412291, -3.813687550142518, 0.6011025075689487, -3.807712849551978]"
