action_boundary_fraction,action_sd,consecutive_action_variation,core_clip_fraction,cumulative_reward,mae_0_1800,mae_0_600,mae_600_1800,mean_deterministic_action,profile,rmse_0_1800,rmse_0_600,rmse_600_1800,seed,sqi_rejection_fraction,stale_fraction,state,step,subject_count,time_above_60_fraction,time_below_40_fraction,time_in_40_60_fraction,total_propofol_mg,visible_fraction
0.021527777777777778,0.4657391126459841,0.04720299756778769,0.0,56.34372239714099,6.654082501820053,11.466444713487178,4.24790139598649,1.3780654889350343,P0,11.231964548400157,17.701734045035057,4.6398068766710585,48,0.0,0.0,S0,131072,32,0.10347222222222222,0.10086805555555556,0.7956597222222223,248.05178800830618,0.5607638888888888
0.00034722222222222224,0.39091823979993884,0.02627591200318583,0.0,35.73878033793186,8.491116650697343,12.491464044022045,6.490942954034992,1.37863018250662,P1,12.214631886646242,18.277884936858513,6.8468654856690305,48,0.08871527777777777,0.0,S0,131072,32,0.11163194444444444,0.1545138888888889,0.7338541666666667,248.1534328511916,0.4720486111111111
0.03142361111111111,0.558743329394944,0.05185078615686913,0.0,88.51361914729677,3.4979686177690357,7.85141023545562,1.3212478089257438,1.18733098505634,P0,8.756226357690792,14.961242548647308,1.6010606859592398,48,0.0,0.0,S_PROP,131072,32,0.07274305555555555,0.0,0.9272569444444445,213.71957731014118,0.5607638888888888
0.010243055555555554,0.5054372239798128,0.0750070000795762,0.0,75.79369409241593,3.9149098019552717,7.961849780895737,1.891439812485039,1.230838340929606,P1,8.884772935784994,15.023070391009027,2.188008218675581,48,0.08871527777777777,0.0,S_PROP,131072,32,0.07430555555555554,0.0,0.9256944444444445,221.55090136732906,0.4720486111111111
0.02378472222222222,0.3171563032927933,0.03669746658717953,0.0,73.87133994273893,5.312728970997158,12.937138159312283,1.5005243768395946,1.1546487199659978,P0,10.721761937724242,18.330102990405216,1.8839949460705099,48,0.0,0.0,S_REMI,131072,32,0.13958333333333334,0.0,0.8604166666666667,207.83676959387958,0.5607638888888888
0.019618055555555555,0.2982392405769098,0.027844302085691327,0.0,49.126986307117136,6.476157445401796,13.861117487010752,2.78367742459732,1.076681250310503,P1,11.293447754148456,19.018509877140126,3.0427439299274486,48,0.08871527777777777,0.0,S_REMI,131072,32,0.146875,0.0,0.8531249999999999,193.80262505589053,0.4720486111111111
0.028298611111111108,0.3933805227709694,0.043252772266596726,0.0,72.77879800616837,4.533709354254134,10.98906219434687,1.3060329342077663,1.1374314964024557,P0,9.846129899093011,16.902811761936817,1.5193341865951822,48,0.0,0.0,S_CP,131072,32,0.10954861111111111,0.0,0.8904513888888889,204.73766935244203,0.5607638888888888
0.025520833333333333,0.38855535787125,0.053502222054830476,0.0,80.85394688864773,4.495857766880161,11.300889476302189,1.0933419121691463,1.1462309062662017,P1,9.781519996271319,16.798190934625715,1.4159535456348542,48,0.08871527777777777,0.0,S_CP,131072,32,0.11631944444444445,0.0,0.8836805555555556,206.3215631279163,0.4720486111111111
0.03402777777777778,0.5987721772966103,0.0381844294772551,0.0,86.38928572916933,3.191010014006009,7.192239627377509,1.1903952073202604,1.1950367393101464,P0,8.09387790651478,13.848049955813485,1.4534652962700785,48,0.0,0.0,S_CE,131072,32,0.06701388888888887,0.0,0.9329861111111111,215.10661307582632,0.5607638888888888
0.018229166666666668,0.5909837002669873,0.050140137086991825,0.0,101.62617448803195,2.8682897694666925,6.847472246065253,0.8786985311674118,1.2115614017833853,P1,8.053448236737175,13.816798778983774,1.2402898452229376,48,0.08871527777777777,0.0,S_CE,131072,32,0.06458333333333333,0.0,0.9354166666666667,218.08105232100934,0.4720486111111111
0.04201388888888889,0.6095269752479284,0.04272280223459505,0.0,109.06152205865025,2.7150991211520044,6.664338707131526,0.7404793281622442,1.2257747922196156,P0,7.985255480009517,13.722055832409268,1.066855349638919,48,0.0,0.0,S_CONC,131072,32,0.06510416666666666,0.0,0.9348958333333333,220.63946259953082,0.5607638888888888
0.03732638888888889,0.5495233782522981,0.058250508031823446,0.0,106.56239849784876,2.8691607295965267,7.337422065258868,0.6350300617653559,1.2038477523148887,P1,8.150569830537869,14.027638641366813,0.9677449048760953,48,0.08871527777777777,0.0,S_CONC,131072,32,0.07100694444444444,0.0,0.9289930555555556,216.69259541667998,0.4720486111111111
0.00798611111111111,0.3435494069068167,0.032548742160700556,0.0,47.33583278325098,11.616159037451844,23.150167981618686,5.849154565368423,0.9475977671552552,P0,16.625429474748486,26.391610830204726,6.706554157804247,49,0.0,0.0,S0,131072,32,0.4774305555555556,0.0,0.5225694444444444,170.56759808794595,0.5607638888888888
0.0012152777777777778,0.1207869260605987,0.018606594696058243,0.0,28.66627173766554,14.726704554988792,26.229947897150485,8.975082883907948,0.74435409176836,P1,18.733696614469046,28.40371777782354,9.963033162506008,49,0.08871527777777777,0.0,S0,131072,32,0.5564236111111112,0.0,0.4435763888888889,133.9837365183048,0.4720486111111111
0.0265625,0.4959175459359948,0.03927849799748406,0.0,82.16314365041973,3.8947467732013425,8.872509217342799,1.4058655511306146,1.187180125159729,P0,9.36353708170991,16.012916648527025,1.6871454192178181,49,0.0,0.0,S_PROP,131072,32,0.0842013888888889,0.0,0.915798611111111,213.6924225287512,0.5607638888888888
0.029513888888888888,0.5594749807256355,0.05610935689683733,0.0,83.62856097833719,3.7705958122928944,7.685897325918943,1.8129450554798705,1.1629504565123676,P1,8.821031389756907,14.866817366567071,2.1807361424089504,49,0.08871527777777777,0.0,S_PROP,131072,32,0.07256944444444444,0.0,0.9274305555555556,209.33108217222616,0.4720486111111111
0.009027777777777777,0.257265834455782,0.032325127531446556,0.0,49.26171905152944,12.341044441195109,23.967577545127263,6.527777889229033,0.8694174452348509,P0,17.20062736540799,26.76766861669718,7.535329532717861,49,0.0,0.0,S_REMI,131072,32,0.4951388888888889,0.0,0.5048611111111111,156.49514014227316,0.5607638888888888
0.015104166666666665,0.2732118947512163,0.03392630670864821,0.0,64.94924252743361,5.861200237772151,13.802562415810439,1.890519148753006,1.1379370317199369,P1,11.25144247277368,19.16219254819692,2.3087619225232983,49,0.08871527777777777,0.0,S_REMI,131072,32,0.14652777777777776,0.0,0.8534722222222222,204.82866570958868,0.4720486111111111
