row_type,contrast,formula,metric,seed,delta,seed_sd,favorable_seed_count,bootstrap_low,bootstrap_high,evidence_language
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_0_1800,50,1.2600941199862739,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_0_1800,51,-1.0713579414480945,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_0_1800,52,-0.006247168750145082,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_0_600,48,-0.016687092374758627,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_0_600,49,-3.9447187402468327,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_0_600,50,-1.251062067272457,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_0_600,51,-1.1738886983150953,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_0_600,52,0.5980243383490933,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_600_1800,48,0.10474742537886206,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_600_1800,49,-3.665059724700459,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_600_1800,50,2.5156722136156415,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_600_1800,51,-1.0200925630145936,,,,,
seed,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_600_1800,52,-0.3083829222997676,,,,,
summary,P0_state,P0S1-P0S0,mae_0_1800,mean,-2.9068306366559895,3.6016103399368533,4,-5.3546039864321555,0.3340953429264954,moderate_suggestive
summary,P1_state,P1S1-P1S0,mae_0_1800,mean,-3.6091348634493685,5.249231255491514,4,-7.794570227165442,0.9408037395981322,moderate_suggestive
summary,S0_preprocessing,P1S0-P0S0,mae_0_1800,mean,0.9178886294438904,1.674908242664536,2,-0.12969728001428504,2.450024663476197,descriptive_only
summary,S1_preprocessing,P1S1-P0S1,mae_0_1800,mean,0.21558440265051199,0.442537659814868,2,-0.06744858247746358,0.5997638885867692,descriptive_only
summary,interaction,(P1S1-P1S0)-(P0S1-P0S0),mae_0_1800,mean,-0.7023042267933784,1.8972560766517108,3,-2.359276945949204,0.607739032553699,descriptive_only
